consecutivo;banco;minplazo;maxplazo;minmonto;maxmonto;tasa;fecha
1;1;30;59;300.000;30.000.000;0.9;10/11/2021
2;1;30;59;30.000.001;150.000.000;1.2;10/11/2021
3;1;30;59;150.000.001;500.000.000;1.6;10/11/2021
4;1;30;59;500.000.001;50.000.000.100;2;10/11/2021
5;1;60;89;300.000;30.000.000;1.6;10/11/2021
6;1;60;89;30.000.001;150.000.000;1.9;10/11/2021
7;1;60;89;150.000.001;500.000.000;2.2;10/11/2021
8;1;60;89;500.000.001;50.000.000.100;2.3;10/11/2021
9;1;90;119;300.000;30.000.000;2.1;10/11/2021
10;1;90;119;30.000.001;150.000.000;2.2;10/11/2021
11;1;90;119;150.000.001;500.000.000;2.3;10/11/2021
12;1;90;119;500.000.001;50.000.000.100;2.4;10/11/2021
13;1;120;149;300.000;30.000.000;2.2;10/11/2021
14;1;120;149;30.000.001;150.000.000;2.3;10/11/2021
15;1;120;149;150.000.001;500.000.000;2.4;10/11/2021
16;1;120;149;500.000.001;50.000.000.100;2.5;10/11/2021
17;1;150;179;300.000;30.000.000;2.4;10/11/2021
18;1;150;179;30.000.001;150.000.000;2.5;10/11/2021
19;1;150;179;150.000.001;500.000.000;2.6;10/11/2021
20;1;150;179;500.000.001;50.000.000.100;2.7;10/11/2021
21;1;180;209;300.000;30.000.000;2.5;10/11/2021
22;1;180;209;30.000.001;150.000.000;2.6;10/11/2021
23;1;180;209;150.000.001;500.000.000;2.7;10/11/2021
24;1;180;209;500.000.001;50.000.000.100;2.8;10/11/2021
25;1;210;239;300.000;30.000.000;2.6;10/11/2021
26;1;210;239;30.000.001;150.000.000;2.7;10/11/2021
27;1;210;239;150.000.001;500.000.000;2.8;10/11/2021
28;1;210;239;500.000.001;50.000.000.100;2.9;10/11/2021
29;1;240;269;300.000;30.000.000;2.7;10/11/2021
30;1;240;269;30.000.001;150.000.000;2.8;10/11/2021
31;1;240;269;150.000.001;500.000.000;2.9;10/11/2021
32;1;240;269;500.000.001;50.000.000.100;3;10/11/2021
33;1;270;359;300.000;30.000.000;2.8;10/11/2021
34;1;270;359;30.000.001;150.000.000;2.9;10/11/2021
35;1;270;359;150.000.001;500.000.000;3;10/11/2021
36;1;270;359;500.000.001;50.000.000.100;3.1;10/11/2021
37;1;360;3600;300.000;30.000.000;3.1;10/11/2021
38;1;360;3600;30.000.001;150.000.000;3.2;10/11/2021
39;1;360;3600;150.000.001;500.000.000;3.3;10/11/2021
40;1;360;3600;500.000.001;50.000.000.100;3.4;10/11/2021
41;2;0;60;300.000;10.000.000.000;0.5;10/11/2021
42;2;61;89;300.000;10.000.000.000;1;10/11/2021
43;2;90;179;300.000;10.000.000.000;2.75;10/11/2021
44;2;180;359;300.000;10.000.000.000;3;10/11/2021
45;2;360;539;300.000;10.000.000.000;3.25;10/11/2021
46;2;540;5400;300.000;10.000.000.000;3.5;10/11/2021
47;3;30;50;1.000.000;99.000.000;0.05;10/11/2021
48;3;30;50;100.000.000;499.000.000;0.05;10/11/2021
49;3;30;50;500.000.000;5.000.000.000;0.05;10/11/2021
50;3;51;80;1.000.000;99.000.000;0.05;10/11/2021
51;3;51;80;100.000.000;499.000.000;0.05;10/11/2021
52;3;51;80;500.000.000;5.000.000.000;0.05;10/11/2021
53;3;81;150;1.000.000;99.000.000;0.45;10/11/2021
54;3;81;150;100.000.000;499.000.000;0.75;10/11/2021
55;3;81;150;500.000.000;5.000.000.000;0.95;10/11/2021
56;3;90;90;1.000.000;99.000.000;3.1;10/11/2021
57;3;90;90;100.000.000;499.000.000;3.1;10/11/2021
58;3;90;90;500.000.000;5.000.000.000;3.1;10/11/2021
59;3;151;270;1.000.000;99.000.000;3.7;10/11/2021
60;3;151;270;100.000.000;499.000.000;3.75;10/11/2021
61;3;151;270;500.000.000;5.000.000.000;3.8;10/11/2021
62;3;271;539;1.000.000;99.000.000;4.45;10/11/2021
63;3;271;539;100.000.000;499.000.000;4.5;10/11/2021
64;3;271;539;500.000.000;5.000.000.000;4.6;10/11/2021
65;3;540;719;1.000.000;99.000.000;5.3;10/11/2021
66;3;540;719;100.000.000;499.000.000;5.3;10/11/2021
67;3;540;719;500.000.000;5.000.000.000;5.3;10/11/2021
68;3;720;1079;1.000.000;99.000.000;5.6;10/11/2021
69;3;720;1079;100.000.000;499.000.000;5.6;10/11/2021
70;3;720;1079;500.000.000;5.000.000.000;5.6;10/11/2021
71;3;1080;10800;1.000.000;99.000.000;5.9;10/11/2021
72;3;1080;10800;100.000.000;499.000.000;5.9;10/11/2021
73;3;1080;10800;500.000.000;5.000.000.000;5.9;10/11/2021
